feature_type,num_clusters,use_haralick,use_custom,use_pca,dimension_reduction,cluster_method,accuracy,f1_score,num_train,num_tested
fast,2,False,True,True,8.0,agg,0.4011299435028249,0.3967978395061728,849,177
fast,2,False,True,True,12.0,agg,0.0677966101694915,0.0676775738228252,849,177
fast,2,False,True,False,,agg,0.0225988700564971,0.0220994475138121,849,177
fast,2,False,True,True,2.0,spectral,0.6666666666666666,0.5357222246921264,849,177
fast,2,False,True,True,5.0,spectral,0.5480225988700564,0.5438144329896908,849,177
fast,2,False,True,True,8.0,spectral,0.1468926553672316,0.1335062408818285,849,177
fast,2,False,True,True,12.0,spectral,0.0847457627118644,0.0840148223869154,849,177
fast,2,False,True,False,,spectral,0.0169491525423728,0.0166666666666666,849,177
fast,2,False,True,False,,spectral,0.9830508474576272,0.976776732998032,849,177
fast,2,False,False,True,2.0,gmm,0.3446327683615819,0.3290196078431373,849,177
fast,2,False,False,True,5.0,gmm,0.3163841807909605,0.2932849364791289,849,177
fast,2,False,False,True,8.0,gmm,0.3050847457627119,0.2784608756172737,849,177
fast,2,False,False,True,12.0,gmm,0.3050847457627119,0.2784608756172737,849,177
fast,2,False,False,False,,gmm,0.2542372881355932,0.2074626865671641,849,177
fast,2,False,False,False,,gmm,0.7457627118644068,0.4271844660194174,849,177
fast,2,False,False,True,2.0,agg,0.096045197740113,0.0960163432073544,849,177
fast,2,False,False,True,5.0,agg,0.0621468926553672,0.059715821812596,849,177
fast,2,False,False,True,8.0,agg,0.2090395480225988,0.1901960784313725,849,177
fast,2,False,False,True,12.0,agg,0.0621468926553672,0.0618773946360153,849,177
fast,2,False,False,False,,agg,0.0225988700564971,0.0220994475138121,849,177
fast,2,False,False,True,2.0,spectral,0.0847457627118644,0.0844827586206896,849,177
fast,2,False,False,True,5.0,spectral,0.0847457627118644,0.0844827586206896,849,177
fast,2,False,False,True,8.0,spectral,0.0790960451977401,0.0789784517158818,849,177
fast,2,False,False,True,12.0,spectral,0.0621468926553672,0.0613979044211602,849,177
fast,2,False,False,False,,spectral,0.9774011299435028,0.9687830687830687,849,177
fast,2,False,False,False,,spectral,0.0225988700564971,0.0220994475138121,849,177
orb,2,True,True,True,2.0,gmm,0.9717514124293786,0.9612945549967198,843,177
orb,2,True,True,True,5.0,gmm,0.0508474576271186,0.0505747126436781,843,177
orb,2,True,True,True,8.0,gmm,0.0338983050847457,0.0337749401436552,843,177
orb,2,True,True,True,12.0,gmm,0.1694915254237288,0.1539362013462101,843,177
orb,2,True,True,False,,gmm,0.2485875706214689,0.1990950226244344,843,177
orb,2,True,True,True,2.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,True,True,5.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,True,True,8.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,True,True,12.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,True,False,,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,True,True,2.0,spectral,0.2711864406779661,0.2183959196248245,843,177
orb,2,True,True,True,5.0,spectral,0.2711864406779661,0.2183959196248245,843,177
orb,2,True,True,True,8.0,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,True,True,12.0,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,True,False,,spectral,0.2711864406779661,0.2183959196248245,843,177
orb,2,True,True,False,,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,False,True,2.0,gmm,0.9717514124293786,0.9612945549967198,843,177
orb,2,True,False,True,5.0,gmm,0.0564971751412429,0.0564971751412429,843,177
orb,2,True,False,True,8.0,gmm,0.0338983050847457,0.0327868852459016,843,177
orb,2,True,False,True,12.0,gmm,0.9491525423728814,0.9303301989940956,843,177
orb,2,True,False,False,,gmm,0.2485875706214689,0.1990950226244344,843,177
orb,2,True,False,True,2.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,False,True,5.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,False,True,8.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,False,True,12.0,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,False,False,,agg,0.96045197740113,0.9439696106362774,843,177
orb,2,True,False,True,2.0,spectral,0.2711864406779661,0.2183959196248245,843,177
orb,2,True,False,True,5.0,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,False,True,8.0,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,False,True,12.0,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,False,False,,spectral,0.7288135593220338,0.7118046132971506,843,177
orb,2,True,False,False,,spectral,0.2711864406779661,0.2183959196248245,843,177
orb,2,False,True,True,2.0,gmm,0.2598870056497175,0.2157280568239472,843,177
orb,2,False,True,True,5.0,gmm,0.3333333333333333,0.3062051554610682,843,177
orb,2,False,True,True,8.0,gmm,0.655367231638418,0.6139102449490434,843,177
orb,2,False,True,True,12.0,gmm,0.519774011299435,0.5158175908344865,843,177
orb,2,False,True,False,,gmm,0.4915254237288136,0.4563882063882064,843,177
orb,2,False,True,False,,gmm,0.4124293785310734,0.4069587628865979,843,177
orb,2,False,True,False,,gmm,0.6101694915254238,0.522052205220522,843,177
orb,2,False,True,False,,gmm,0.4011299435028249,0.3967978395061728,843,177
